Name,BPS,PER,PBR,EPS,DIV,DPS
신영증권,177863,5.2,0.32,10783,7.13,4000
빙그레,65119,18.21,0.81,2905,2.84,1500
동국제강,0,0.0,0.0,0,0.0,0
NICE,21230,13.54,0.65,1012,2.99,410
유안타증권,8081,12.22,0.32,209,4.31,110
엠씨넥스,17477,21.81,1.61,1293,1.77,500
SK디앤디,31414,7.44,0.73,3084,3.49,800
고려제강,64024,6.25,0.32,3242,1.48,300
부광약품,3845,0.0,1.83,0,0.0,0
한화손해보험,1426,2.3,2.99,1856,0.0,0
미래에셋증권2우B,0,0.0,0.0,0,5.63,200
코람코에너지리츠
쿠쿠홈시스,31261,4.26,0.7,5118,3.21,700
지누스,34132,15.62,0.76,1658,2.05,530
SBS,46405,3.06,0.57,8623,3.8,1000
한섬,60819,3.45,0.32,5599,3.88,750
이엔플러스,1107,0.0,6.33,0,0.0,0
삼양사,136968,6.66,0.33,6872,2.73,1250
영진약품,491,0.0,5.27,0,0.0,0
파미셀,1328,42.64,5.84,182,0.0,0
유나이티드제약,22971,9.3,1.24,3058,1.41,400
국도화학,99565,5.94,0.51,8626,2.73,1400
화승엔터프라이즈,8870,0.0,0.85,0,0.6,45
일진전기,9304,18.59,1.3,653,1.07,130
케이씨텍,20995,7.95,1.02,2692,1.17,250
대동,15973,10.09,1.14,1812,0.55,100
삼성SDI우,0,0.0,0.0,0,0.4,1080
LX하우시스,87146,0.0,0.55,0,0.41,200
유니퀘스트,13196,8.9,1.25,1853,1.21,200
쏘카,7565,0.0,1.72,0,0.0,0
송원산업,28443,3.22,0.62,5497,2.82,500
엘브이엠씨홀딩스
삼천리,410695,7.22,0.25,14387,2.89,3000
에이프로젠,923,0.0,1.75,0,0.0,0
세아홀딩스,530930,3.27,0.19,31597,3.87,4000
흥아해운,544,18.28,3.16,94,0.0,0
서연이화,26709,7.34,0.57,2060,0.99,150
LF,51612,2.61,0.27,5351,5.02,700
유니드,135798,4.05,0.44,14826,3.33,2000
화신,10839,5.16,1.07,2254,0.86,100
롯데정보통신,28084,13.08,0.94,2015,2.66,700
풀무원,11212,0.0,0.95,0,0.96,102
삼화콘덴서,21828,13.63,1.77,2840,1.29,500
SNT다이내믹스,29430,11.86,0.41,1027,4.11,500
E1,249560,2.39,0.24,24536,6.13,3600
쎌마테라퓨틱스,69,0.0,92.9,0,0.0,0
LG생활건강우,0,0.0,0.0,0,2.12,4050
현대그린푸드,0,0.0,0.0,0,0.0,0
아세아시멘트,24770,6.27,0.41,1631,2.2,225
아모레퍼시픽우,0,0.0,0.0,0,1.82,685
이수화학,11236,17.04,1.55,1019,2.88,500
세아제강,296062,2.45,0.47,56889,4.31,6000
대원제약,11967,11.88,1.5,1510,1.95,350
SGC에너지,48174,3.29,0.55,8093,6.38,1700
신영증권우,0,0.0,0.0,0,7.39,4050
삼성FN리츠
한국자산신탁,7620,3.5,0.41,885,7.1,220
CJ CGV,5510,0.0,1.46,0,0.0,0
HDC,44094,0.0,0.14,0,3.95,250
남해화학,10670,7.72,0.71,986,1.31,100
맵스리얼티1
코리아써키트,20204,6.29,0.78,2507,0.0,0
유진투자증권,10623,22.71,0.36,168,1.57,60
한화리츠
아세아,548397,3.68,0.31,46012,2.21,3750
HL홀딩스,102608,112.9,0.35,314,5.64,2000
잇츠한불,20944,0.0,0.78,0,0.92,150
KB스타리츠
에어부산,1086,0.0,2.79,0,0.0,0
YG PLUS,2248,30.22,2.46,183,0.0,0
대신증권우,0,0.0,0.0,0,9.25,1250
백광산업,4741,15.87,1.64,491,0.77,60
대원강업,7802,18.42,0.72,304,1.79,100
DB,1492,57.33,1.15,30,0.0,0
BGF,16528,14.6,0.22,247,3.05,110
서흥,37893,9.77,0.79,3056,1.34,400
퍼시스,52783,46.13,0.56,646,3.69,1100
한일홀딩스,46069,3.82,0.24,2904,7.22,800
풍산홀딩스,99583,4.49,0.34,7614,3.8,1300
현대퓨처넷,6836,0.0,0.45,0,2.91,90
광동제약,12593,11.04,0.52,588,1.54,100
아세아제지,89799,3.6,0.42,10540,2.64,1000
이아이디,1584,0.0,0.88,0,0.0,0
이연제약,13956,43.73,1.3,415,0.83,150
KEC,1912,11.97,0.88,140,3.58,60
티와이홀딩스,42418,2.58,0.16,2579,2.25,150
포스코스틸리온,57026,14.74,0.98,3785,1.57,875
조광피혁,106403,29.6,0.47,1706,0.0,0
남양유업,1079345,0.0,0.43,0,0.21,1000
서울가스,270188,14.56,0.25,4554,2.64,1750
대한제강,38135,2.03,0.35,6605,5.83,780
HD현대에너지솔루션,34065,5.4,0.86,5412,2.05,600
교보증권,24572,7.44,0.21,681,3.94,200
조일알미늄,1476,18.1,1.74,142,0.0,0
세진중공업,2993,26.98,1.91,212,2.62,150
신도리코,109950,6.41,0.29,5007,4.67,1500
조선내화,0,0.0,0.0,0,0.0,0
두산우,0,0.0,0.0,0,2.53,2050
삼진제약,20811,13.34,1.11,1728,3.47,800
이리츠코크렙
한일현대시멘트,18827,8.39,0.88,1971,3.63,600
STX엔진,11315,0.0,1.22,0,0.0,0
알루코,2639,22.1,1.3,155,0.0,0
HJ중공업,4624,0.0,0.82,0,0.0,0
일양약품,12974,15.87,1.27,1036,0.91,150
LS네트웍스,7510,0.0,0.53,0,0.0,0
STX중공업,6770,21.87,1.61,498,0.0,0
남선알미늄,2376,10.11,1.01,238,0.0,0
한화3우B,0,0.0,0.0,0,5.8,800
한국토지신탁,4503,11.58,0.27,106,7.33,90
한진,96471,6.28,0.21,3290,2.91,600
LG헬로비전,8077,0.0,0.49,0,3.01,120
효성화학,36068,0.0,2.66,0,0.0,0
코오롱플라스틱,6728,8.59,1.2,939,2.23,180
농심홀딩스,231914,8.92,0.28,7353,3.81,2500
JW홀딩스,1513,13.35,2.76,313,2.39,100
아이마켓코리아,11376,12.8,0.79,706,6.64,600
진원생명과학,2340,0.0,1.66,0,0.0,0
한국쉘석유,86889,11.26,2.66,20555,7.78,18000
콘텐트리중앙,9617,0.0,1.61,0,0.0,0
모토닉,19912,9.14,0.45,988,4.43,400
SK증권,1525,27.35,0.41,23,0.79,5
락앤락,11990,0.0,0.49,0,32.99,1953
삼익THK,10179,17.45,1.38,804,2.14,300
대한제당,5992,11.94,0.55,276,3.64,120
KISCO홀딩스,75645,3.16,0.24,5760,3.3,600
스카이라이프,17321,13.06,0.35,470,5.7,350
수산인더스트리,32090,5.74,0.63,3544,2.95,600
도화엔지니어링,7986,182.98,1.08,47,3.26,280
동화약품,13165,14.08,0.79,736,1.74,180
지역난방공사,143557,0.0,0.17,0,0.0,0
웅진씽크빅,3142,92.41,0.79,27,4.41,110
스틱인베스트먼트,6347,16.12,1.09,428,2.9,200
일성신약,60174,1.53,0.36,14122,18.54,4005
에이프로젠바이오로직스,720,22.63,0.6,19,0.0,0
신성통상,2389,3.71,0.83,533,0.0,0
휴스틸,16181,0.89,0.31,5675,6.93,350
CJ4우(전환),0,0.0,0.0,0,3.82,2550
TYM,7778,2.76,0.8,2262,4.81,300
SIMPAC,11050,3.06,0.38,1381,4.73,200
제주은행,16243,13.57,0.53,636,1.16,100
다올투자증권,11357,4.41,0.4,1019,3.34,150
환인제약,21845,9.35,0.67,1567,2.05,300
한미글로벌,17414,10.11,1.42,2449,2.22,550
LS전선아시아,4898,0.0,1.82,0,2.81,250
현대차증권,38617,3.21,0.22,2654,6.46,550
종근당홀딩스,108745,245.21,0.49,219,2.61,1400
벽산,4254,22.29,0.92,175,0.64,25
DL건설,45294,4.93,0.27,2445,2.07,250
한전산업,2947,16.27,2.76,499,2.81,228
한국콜마홀딩스,33447,0.0,0.42,0,2.12,300
웰바이오텍,561,0.0,5.12,0,0.0,0
삼양패키징,22869,21.15,0.72,777,4.56,750
현대코퍼레이션,36053,2.95,0.54,6554,3.1,600
에이블씨엔씨,4422,273.61,2.23,36,0.0,0
제일약품,10837,0.0,1.61,0,0.29,50
하나제약,15515,10.23,0.93,1405,3.55,510
사조대림,67677,2.86,0.41,9689,1.26,350
한국철강,20372,2.91,0.29,2055,5.03,300
한솔제지,31224,3.42,0.34,3104,6.59,700
디아이씨,2625,81.77,2.46,79,0.0,0
BYC,825735,9.5,0.49,42272,0.75,3000
대상홀딩스,20315,7.95,0.34,868,3.91,270
한화갤러리아,0,0.0,0.0,0,0.0,0
한국제지,1760,33.49,0.74,39,0.0,0
SNT홀딩스,68239,4.28,0.22,3556,4.6,700
AK홀딩스,41948,0.0,0.44,0,1.08,200
현대지에프홀딩스,20860,5.95,0.18,640,5.51,210
광주신세계,99270,4.28,0.31,7157,7.19,2200
현대차3우B,0,0.0,0.0,0,6.99,7050
넥스틸,259899,1.06,0.04,8850,0.0,0
동양,4062,0.0,0.25,0,3.95,40
한국금융지주우,0,0.0,0.0,0,5.75,2362
경방,30304,49.44,0.29,177,1.43,125
KIB플러그에너지,475,20.41,2.11,49,0.0,0
동성케미컬,7735,6.62,0.61,714,4.23,200
코오롱글로벌,22544,2.15,0.54,5710,3.26,400
케이씨,58058,2.12,0.3,8092,2.04,350
코오롱모빌리티그룹,0,0.0,0.0,0,0.0,0
동국씨엠,0,0.0,0.0,0,0.0,0
세방,54430,2.48,0.22,4819,2.51,300
코오롱,76319,1.82,0.24,10012,3.02,550
부국증권,116987,4.66,0.19,4736,6.8,1500
삼영무역,26238,4.04,0.47,3054,4.86,600
유니켐,1678,73.94,1.45,33,0.82,20
신대양제지,15417,4.24,0.36,1319,2.24,125
신세계 I&C,27495,2.04,0.47,6381,3.84,500
넥센,22295,13.22,0.19,317,2.63,110
한농화성,9977,25.53,1.44,561,0.84,120
이지스밸류리츠
휴비스,11585,0.0,0.56,0,0.0,0
JW생명과학,9063,14.49,1.54,966,3.57,500
성신양회,16402,0.0,0.55,0,2.22,200
CR홀딩스,21609,6.11,0.36,1279,5.75,450
롯데하이마트,55987,0.0,0.17,0,3.23,300
대덕,17890,11.73,0.36,549,6.21,400
아주스틸,9135,160.59,0.9,51,0.0,0
대한제분,558185,5.16,0.23,24697,1.96,2500
일진다이아,28217,0.0,0.54,0,1.99,300
한솔테크닉스,9749,14.17,0.68,468,1.51,100
에스엠벡셀,603,20.7,3.16,92,0.0,0
일신방직,39009,1.81,0.23,5047,5.49,500
대성에너지,11539,0.0,0.66,0,3.29,250
NPC,9416,8.44,0.61,678,1.75,100
S-Oil우,0,0.0,0.0,0,10.6,5525
KPX케미칼,122776,7.21,0.35,6015,6.34,2750
디아이,5841,13.28,1.28,564,1.34,100
일진홀딩스,9402,10.51,0.45,400,3.57,150
KPX홀딩스,210854,21.55,0.23,2267,6.14,3000
우진,7877,21.17,1.28,478,1.48,150
무림P&P,10484,4.56,0.31,721,4.56,150
미원홀딩스,95466,10.13,0.92,8717,0.79,700
대교,5825,0.0,0.41,0,1.24,30
교촌에프앤비,7157,37.99,1.14,214,2.46,200
태경산업,10077,6.01,0.69,1154,4.32,300
디앤디플랫폼리츠
GS글로벌,4813,2.87,0.51,851,0.0,0
키다리스튜디오,7338,0.0,0.74,0,0.92,50
HDC랩스,11339,14.41,0.68,538,5.81,450
이월드,1742,35.5,0.82,40,0.0,0
삼성제약,1528,0.0,1.96,0,0.0,0
대성홀딩스,29781,55.38,0.42,225,2.01,250
AJ네트웍스,8076,21.34,0.53,201,6.29,270
사조산업,102866,2.85,0.39,13998,0.88,350
하이트진로홀딩스,26118,6.01,0.33,1427,5.83,500
자이에스앤디,12735,2.09,0.4,2447,5.86,300
태경비케이,6444,8.42,1.11,850,1.82,130
삼성전기우,0,0.0,0.0,0,3.16,2150
대창단조,9161,4.83,0.75,1417,2.92,200
화승인더,6884,207.35,0.51,17,5.33,188
현대비앤지스틸,34806,7.51,0.37,1715,0.78,100
경농,12997,6.61,0.76,1503,4.02,400
흥국화재,11208,1.41,0.27,2142,0.0,0
금호건설,15149,8.93,0.35,587,9.54,500
예스코홀딩스,112673,0.0,0.29,0,7.73,2500
금호석유우,0,0.0,0.0,0,8.6,5450
디와이,13814,0.0,0.52,0,1.66,120
한독,27596,17.76,0.5,776,2.9,400
선진,17831,8.11,0.44,975,1.26,100
백산,7626,4.35,1.07,1882,1.83,150
경보제약,6011,301.92,1.31,26,0.64,50
LG우,0,0.0,0.0,0,4.94,3050
KSS해운,17995,4.0,0.45,2016,4.34,350
퍼스텍,1183,102.57,3.21,37,0.0,0
진양홀딩스,6258,7.32,0.53,452,6.04,200
한세예스24홀딩스,10535,8.47,0.44,543,5.43,250
신한서부티엔디리츠
HLB글로벌,1507,0.0,2.87,0,0.0,0
NH투자증권우,0,0.0,0.0,0,7.76,750
덕양산업,2608,11.48,2.14,487,0.0,0
노루페인트,17634,16.08,0.51,564,3.03,275
그린케미칼,5251,61.54,1.44,123,3.04,230
경동인베스트,205405,11.72,0.37,6519,0.98,750
세종공업,14878,101.88,0.44,64,1.53,100
